Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","164.144","44,99%"
"GALICIA","MULLERES","200.669","55,01%"

"A.S. A CORUÑA E CEE","HOMES","36.179","44,74%"
"A.S. A CORUÑA E CEE","MULLERES","44.694","55,26%"
"A.S. FERROL","HOMES","11.719","44,33%"
"A.S. FERROL","MULLERES","14.717","55,67%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.253","44,35%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.905","55,65%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.805","44%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.204","56%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.790","45,23%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.755","54,77%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.588","45,63%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.721","54,37%"
"A.S. VIGO","HOMES","37.689","45,83%"
"A.S. VIGO","MULLERES","44.539","54,17%"
"SEN A.S. ASIGNADA","HOMES","121","47,45%"
"SEN A.S. ASIGNADA","MULLERES","134","52,55%"
